"author","question"
Data Scientist at eBay was asked...," Build a model to identify customers interested in receiving ad emails. Machine Learning questions like boosting, bagging and stacking and so on."
Data Scientist at Yummly was asked..., Detailed understanding of ttest Understanding of working through data to identify different opportunities fro Yummly - in terms of analysis feeding decision and models feeding features
Data Scientist at Lyft was asked...," Given a simple dataset, what features can you derive from this data? (simple question, but the answer is evaluated under high standards.)"
Data Scientist at Uber was asked..., Solving several case studies with UBER
Data Scientist at Facebook was asked..., SQL question + Case + Stats
Data Scientist at Facebook was asked...," Other people have covered SQL questions thoroughly - but the interview is just as heavily (if not more so) focused on product sense! Make sure you are familiar with the differences between Facebook/Instagram/Snapchat/Twitter in terms of social graphs, UX, monetization etc. "
Data Scientist at Atlassian was asked..., Did not really ask me any questions.
Data Scientist at Yelp was asked..., about my project on resume. 3 Sum
Senior Data Scientist at KPMG was asked..., How would you code a given problem using R or Python?
Senior Data Scientist at KPMG was asked..., Asked questions about my presentation such as why didn't you use varying other techniques. 
Data Scientist at VigLink was asked..., Describe in detail past predictive modeling projects
Data Scientist at Aera Technology was asked..., SQL related questions
Senior Data Scientist at KPMG was asked..., What machine learning techniques would you use to model a given problem. 
Data Scientist at Zenefits was asked..., 1. Probability Question 2. Open-ended case studies
Senior Data Scientist at Coffee Meets Bagel was asked..., Explain the difference between normalization and regularization. 
Senior Data Scientist at Coffee Meets Bagel was asked..., What project at your previous job are you most proud of? Why?
Data Scientist at Facebook was asked...," Again, I can't talk about the specific question, but after I wrote up a simple algorithm, the interviewer asked me for a more efficient solution. I really struggled with that."
Senior Data Scientist at Coffee Meets Bagel was asked...," If I called your current boss today, and asked him/her to describe you to me, what would they say? What is the most negative thing they would say?"
Data Scientist at Facebook was asked..., SQL. And why the number of likes are increasing?
"Data Scientist, Feature Engineering at AdRoll Group was asked...", How would you evaluate the revenue being brought in by a show if you are Netflix? How would you decide whether or not to do a second season for a show?
Data Scientist at Opendoor was asked...," Pair sessions: given a data set, do exploratory data analysis, then build a predictive model to solve a real business problem here. Whiteboard design: previous experience, and a open end discussion on a Business Intelligence challenge here."
